KEY , ALPHA1 , ALPHA2 , GAPS , MATCHES , ALL , OVERLAP_TYPE ,R1L,R1S,R1E,R2L,R2S,R2E
origSeq_140-origSeq_86,0.033147114,0.034645181,0.003381279,0.021395037,0.014023745,Good Overlap,13483,0,534,3221,2627,3186
origSeq_190-origSeq_5,0.033355755,0.033279253,0.003125204,0.019301254,0.012087503,Good Overlap,31476,6204,7047,860,1,842
origSeq_112-origSeq_121,0.033456358,0.033826841,0.003569364,0.020802226,0.013719409,Good Overlap,11483,0,698,10092,9380,10086
origSeq_140-origSeq_145,0.034115826,0.035111455,0.00358758,0.020887192,0.013314704,Good Overlap,13483,0,529,2575,2023,2568
origSeq_12-origSeq_90,0.034172126,0.033164406,0.003991378,0.020527769,0.013311759,Good Overlap,459,0,459,14077,12973,13418
origSeq_129-origSeq_23,0.034754323,0.035084717,0.004147901,0.023122663,0.016014044,Good Overlap,17989,474,1083,648,8,623
origSeq_167-origSeq_70,0.035063184,0.036170425,0.003536609,0.022520242,0.01499634,Good Overlap,12915,0,702,8278,7106,7831
origSeq_151-origSeq_174,0.035222327,0.035655021,0.003565057,0.022385722,0.014762295,Good Overlap,15444,0,785,7674,6843,7638
origSeq_187-origSeq_79,0.035228156,0.043082077,0.004474063,0.027454089,0.018623665,Good Overlap,27328,0,1043,3576,2279,3565
origSeq_130-origSeq_188,0.035357123,0.035409836,0.003369348,0.02247224,0.015168597,Good Overlap,3646,0,647,15308,14653,15301
origSeq_145-origSeq_155,0.035725458,0.035665123,0.00304189,0.021060483,0.013359184,Good Overlap,2575,0,571,14003,13408,13978
origSeq_192-origSeq_20,0.036113179,0.036087546,0.003142924,0.020854445,0.013158125,Good Overlap,47088,9963,11321,1845,479,1836
origSeq_189-origSeq_64,0.036751307,0.036409261,0.003282206,0.021686751,0.01385113,Good Overlap,39864,0,1553,3939,2393,3931
origSeq_116-origSeq_23,0.037078722,0.03900156,0.003312844,0.023030872,0.014805989,Good Overlap,16597,611,1204,648,7,632
origSeq_103-origSeq_192,0.037630291,0.036892621,0.003340233,0.023845579,0.015955067,Good Overlap,1130,0,1130,47088,28899,30006
origSeq_16-origSeq_189,0.038524557,0.038601399,0.003984323,0.024172777,0.016286889,Good Overlap,964,0,964,39864,24059,25025
origSeq_42-origSeq_60,0.038692462,0.039333333,0.003658778,0.021207798,0.01252093,Good Overlap,6699,0,696,12013,11289,11997
origSeq_125-origSeq_175,0.038797318,0.037856544,0.003493137,0.023897185,0.015822693,Good Overlap,16120,0,1111,13606,12516,13599
origSeq_165-origSeq_55,0.039086055,0.039155861,0.003670288,0.024972498,0.016893575,Good Overlap,22641,0,1076,5971,4888,5966
origSeq_110-origSeq_82,0.039251763,0.038071845,0.003028875,0.024634194,0.016539274,Good Overlap,1989,0,512,11561,11055,11551
origSeq_189-origSeq_40,0.039271312,0.038730412,0.003457374,0.024238077,0.016018101,Good Overlap,39864,0,1675,4447,2788,4439
origSeq_158-origSeq_75,0.03952794,0.039596218,0.004439995,0.024415218,0.015824842,Good Overlap,7035,0,556,7594,7031,7588
origSeq_131-origSeq_135,0.039800588,0.039015213,0.00390916,0.025740332,0.017689405,Good Overlap,19393,7160,7647,485,3,480
origSeq_187-origSeq_5,0.039911716,0.039160646,0.003625661,0.0237658,0.015287331,Good Overlap,27328,5581,6449,860,1,852
origSeq_142-origSeq_169,0.040520287,0.038306776,0.004114066,0.024246007,0.015585268,Good Overlap,757,0,757,18645,17925,18639
origSeq_101-origSeq_181,0.04055903,0.04055903,0.003603378,0.026594399,0.018484397,Good Overlap,10048,0,830,11249,10416,11246
origSeq_105-origSeq_187,0.04082519,0.040894615,0.003546011,0.025217595,0.016635267,Good Overlap,1437,0,1128,27328,26193,27323
origSeq_111-origSeq_156,0.041561713,0.040756303,0.004545675,0.026119604,0.017665334,Good Overlap,4768,0,693,12592,11906,12585
origSeq_165-origSeq_28,0.041598459,0.041506163,0.00420883,0.026545069,0.017893192,Good Overlap,22641,1871,2735,900,0,862
origSeq_109-origSeq_40,0.041790601,0.041006177,0.003798396,0.025823129,0.017115507,Good Overlap,9570,0,562,4447,3878,4429
origSeq_151-origSeq_76,0.041886469,0.040935145,0.004050933,0.02487477,0.015875508,Good Overlap,15444,0,929,7647,6735,7642
origSeq_169-origSeq_181,0.042041414,0.041841004,0.003477448,0.026847341,0.01814311,Good Overlap,18645,0,1206,11249,10041,11241
origSeq_105-origSeq_189,0.042363138,0.043491063,0.004181983,0.027013685,0.017920577,Good Overlap,1437,0,1437,39864,32484,33961
origSeq_103-origSeq_181,0.042441664,0.042117727,0.00307523,0.026395095,0.017433922,Good Overlap,1130,0,502,11249,10698,11196
origSeq_137-origSeq_192,0.042454029,0.042832538,0.004142739,0.027540348,0.018835409,Good Overlap,1503,0,1503,47088,33900,35417
origSeq_123-origSeq_79,0.043127475,0.043758704,0.003206924,0.02546688,0.015984171,Good Overlap,10666,0,588,3576,2968,3565
origSeq_133-origSeq_181,0.04329986,0.043919283,0.003993484,0.027242531,0.017998898,Good Overlap,17758,0,1203,11249,10025,11246
origSeq_170-origSeq_190,0.044249635,0.044961564,0.004017076,0.027293128,0.017633062,Good Overlap,3575,0,1484,31476,29962,31471
origSeq_191-origSeq_23,0.044398518,0.04494302,0.003657525,0.028640016,0.019236451,Good Overlap,22116,8085,8708,648,1,632
origSeq_192-origSeq_6,0.044805498,0.046110278,0.004958859,0.027868586,0.018142161,Good Overlap,47088,17118,18461,1395,4,1388
origSeq_138-origSeq_65,0.044912082,0.045383964,0.003689598,0.028442202,0.019068963,Good Overlap,12367,0,636,2445,1794,2437
origSeq_100-origSeq_87,0.045344353,0.044027586,0.003888199,0.025824329,0.016161502,Good Overlap,16312,0,823,2659,1838,2636
origSeq_191-origSeq_64,0.045615447,0.04611426,0.004263211,0.027155295,0.017191238,Good Overlap,22116,0,1134,3939,2744,3891
origSeq_150-origSeq_190,0.045777778,0.045721228,0.004112778,0.028841682,0.019346383,Good Overlap,3827,0,1545,31476,29923,31466
origSeq_129-origSeq_160,0.046200466,0.045755597,0.004244276,0.02894086,0.01930905,Good Overlap,17989,2,993,4454,3463,4444
origSeq_192-origSeq_83,0.046602845,0.047014653,0.004070065,0.028340903,0.018372736,Good Overlap,47088,17006,18408,1434,2,1417
origSeq_12-origSeq_66,0.046793761,0.046696574,0.004450992,0.025898293,0.015883222,Good Overlap,459,0,459,12390,9350,9808
origSeq_135-origSeq_169,0.047446684,0.048377639,0.004534724,0.028190258,0.017843986,Good Overlap,485,0,485,18645,9737,10232
origSeq_187-origSeq_41,0.047693011,0.054431643,0.005048294,0.034714863,0.023500379,Good Overlap,27328,0,1566,7331,5507,7307
origSeq_148-origSeq_67,0.047765641,0.046250249,0.004246968,0.030588743,0.020647847,Good Overlap,481,0,481,10468,9589,10054
origSeq_152-origSeq_23,0.047789362,0.048368697,0.003828842,0.02976879,0.019654026,Good Overlap,14143,1002,1630,648,0,636
origSeq_120-origSeq_24,0.048306444,0.049472296,0.004683403,0.027636409,0.016899516,Good Overlap,6804,0,512,4348,3795,4320
origSeq_176-origSeq_57,0.048470079,0.046576829,0.006017369,0.029661286,0.019564768,Good Overlap,4281,0,537,7337,6798,7313
origSeq_129-origSeq_182,0.048485563,0.048956321,0.004387898,0.030282952,0.020069234,Good Overlap,17989,2,2059,26524,24438,26516
origSeq_138-origSeq_190,0.048846448,0.049142283,0.004695477,0.031783631,0.021668572,Good Overlap,12367,0,2041,31476,29417,31471
origSeq_131-origSeq_4,0.048886949,0.048174727,0.00449972,0.028749446,0.018260242,Good Overlap,19393,3359,4143,781,3,775
origSeq_124-origSeq_18,0.049388501,0.049254851,0.005469319,0.030593774,0.02027123,Good Overlap,26618,5278,6332,1059,1,1052
origSeq_183-origSeq_48,0.049398353,0.048412195,0.004257769,0.027654863,0.016831187,Good Overlap,11124,0,858,7106,6245,7085
origSeq_134-origSeq_28,0.049564635,0.04940546,0.005037102,0.031786962,0.021584232,Good Overlap,18418,504,1392,900,2,887
origSeq_47-origSeq_63,0.049782276,0.049670433,0.004718985,0.033216081,0.023361855,Good Overlap,4043,0,423,4904,4454,4876
origSeq_16-origSeq_190,0.049790817,0.050624419,0.004846906,0.033045172,0.022746677,Good Overlap,964,0,964,31476,18397,19378
origSeq_14-origSeq_96,0.050447775,0.050191312,0.004267526,0.030859941,0.020156158,Good Overlap,3633,0,1121,19709,18588,19703
origSeq_12-origSeq_139,0.050489495,0.050280559,0.005058987,0.029653006,0.018647999,Good Overlap,459,0,459,15013,8632,9089
origSeq_106-origSeq_192,0.050577343,0.050419294,0.004497956,0.031398963,0.020831326,Good Overlap,3408,0,2431,47088,44657,47080
origSeq_105-origSeq_190,0.050858255,0.051160487,0.005047439,0.031211022,0.020364238,Good Overlap,1437,0,1437,31476,26818,28264
origSeq_189-origSeq_94,0.050964925,0.051339097,0.005060447,0.03157422,0.020834532,Good Overlap,39864,4371,6180,1837,2,1825
origSeq_190-origSeq_79,0.051042135,0.050871352,0.004453977,0.030078801,0.019164109,Good Overlap,31476,0,1702,3576,1869,3565
origSeq_12-origSeq_181,0.051085142,0.04960428,0.004839558,0.03060893,0.019881446,Good Overlap,459,0,459,11249,8526,8971
origSeq_180-origSeq_182,0.051207217,0.051602637,0.005008076,0.031238179,0.020381213,Good Overlap,1351,0,1351,26524,25032,26394
origSeq_191-origSeq_40,0.051399834,0.051587616,0.004721078,0.032741912,0.022179642,Good Overlap,22116,0,1298,4447,3137,4440
origSeq_16-origSeq_187,0.051738944,0.052704949,0.004634647,0.030525154,0.019027437,Good Overlap,964,0,964,27328,17668,18651
origSeq_189-origSeq_49,0.051885737,0.051838592,0.005096489,0.032807623,0.022021929,Good Overlap,39864,0,2087,2468,359,2444
origSeq_102-origSeq_131,0.052103304,0.052530718,0.005102852,0.033078212,0.02209186,Good Overlap,926,2,926,19393,16810,17742
origSeq_54-origSeq_66,0.052516411,0.051409376,0.005356054,0.033062084,0.02232835,Good Overlap,2031,0,720,12390,11679,12383
origSeq_116-origSeq_182,0.052573664,0.053915464,0.005236881,0.03289388,0.021652213,Good Overlap,16597,0,2150,26524,24298,26506
origSeq_169-origSeq_66,0.052583401,0.051972724,0.004581416,0.031879666,0.020738141,Good Overlap,18645,0,1551,12390,10851,12383
origSeq_30-origSeq_89,0.052589557,0.051579901,0.004530707,0.033424488,0.022502523,Good Overlap,2294,0,988,17466,16493,17461
origSeq_133-origSeq_66,0.052679414,0.052215577,0.004555212,0.031475734,0.020296655,Good Overlap,17758,0,1507,12390,10849,12342
origSeq_131-origSeq_98,0.05290094,0.052807717,0.005231712,0.03064373,0.01926633,Good Overlap,19393,0,1075,2007,928,2001
origSeq_143-origSeq_192,0.054436216,0.054937996,0.005463928,0.034428995,0.022920057,Good Overlap,1948,0,1948,47088,33837,35804
origSeq_107-origSeq_191,0.054476283,0.054897043,0.004739668,0.033428918,0.021739616,Good Overlap,3958,0,1346,22116,20750,22107
origSeq_112-origSeq_148,0.054483109,0.057714213,0.004365833,0.035435668,0.023198494,Good Overlap,11483,3613,4042,481,4,460
origSeq_165-origSeq_44,0.054716543,0.054222119,0.005789248,0.036591907,0.025704539,Good Overlap,22641,5432,6374,945,7,940
origSeq_101-origSeq_66,0.054730111,0.054685663,0.004449761,0.032978222,0.021416642,Good Overlap,10048,0,1164,12390,11220,12383
origSeq_127-origSeq_53,0.055096154,0.05477805,0.004478842,0.034573471,0.022990724,Good Overlap,16943,0,1146,5003,3857,4996
origSeq_155-origSeq_188,0.055623604,0.055487497,0.004763987,0.034692012,0.022909727,Good Overlap,14003,2,1546,15308,13757,15297
origSeq_165-origSeq_178,0.055815115,0.055815115,0.005102622,0.034087988,0.022459348,Good Overlap,22641,0,1565,6981,5398,6963
origSeq_116-origSeq_160,0.055870689,0.056060226,0.004985497,0.033455266,0.021671617,Good Overlap,16597,0,1113,4454,3324,4441
origSeq_126-origSeq_192,0.056148541,0.055366776,0.004984031,0.034708649,0.022938682,Good Overlap,2646,0,2646,47088,44479,47086
origSeq_192-origSeq_4,0.056249527,0.053885853,0.004280754,0.034930664,0.023172352,Good Overlap,47088,33940,34683,781,61,771
origSeq_82-origSeq_84,0.057160114,0.056123571,0.005181714,0.033911666,0.021562163,Good Overlap,11561,0,1041,7678,6651,7672
origSeq_115-origSeq_43,0.057339901,0.056689342,0.005253213,0.037847607,0.026310808,Good Overlap,2809,0,582,7936,7341,7916
origSeq_72-origSeq_73,0.057618305,0.058401746,0.005194579,0.034038102,0.021502379,Good Overlap,554,0,554,12487,9061,9623
origSeq_141-origSeq_92,0.05784609,0.058530511,0.004692198,0.035612118,0.023319815,Good Overlap,8897,0,557,1297,732,1296
origSeq_146-origSeq_189,0.05813172,0.057403235,0.005035197,0.034759256,0.022443039,Good Overlap,1730,0,1730,39864,28030,29737
origSeq_128-origSeq_131,0.058716799,0.05800464,0.006207535,0.03626212,0.023877042,Good Overlap,1606,0,1165,19393,18235,19385
origSeq_169-origSeq_4,0.058918669,0.058048104,0.004695832,0.035631371,0.023263144,Good Overlap,18645,5683,6448,781,22,775
origSeq_133-origSeq_135,0.059353869,0.058174524,0.004683616,0.037654041,0.025635092,Good Overlap,17758,9775,10249,485,3,467
origSeq_163-origSeq_182,0.059497792,0.058532012,0.005748447,0.036982647,0.02445739,Good Overlap,1334,0,1334,26524,21087,22398
origSeq_66-origSeq_91,0.059878727,0.059363809,0.00548298,0.037755143,0.025289422,Good Overlap,12390,0,1422,12771,11358,12767
origSeq_13-origSeq_141,0.06,0.06092644,0.004648721,0.038033555,0.025200481,Good Overlap,2939,0,669,8897,8211,8891
origSeq_129-origSeq_5,0.060032603,0.059232461,0.004923718,0.034025898,0.021134112,Good Overlap,17989,3881,4728,860,1,836
origSeq_188-origSeq_56,0.060251639,0.059640619,0.005332003,0.036206067,0.023388783,Good Overlap,15308,2,1022,2637,1623,2632
origSeq_100-origSeq_44,0.060330473,0.060149894,0.006654505,0.041249009,0.029401329,Good Overlap,16312,699,1641,945,1,940
origSeq_172-origSeq_23,0.060417678,0.061238354,0.006315844,0.040048065,0.027661931,Good Overlap,14476,4181,4803,648,0,631
origSeq_190-origSeq_41,0.060883591,0.060755202,0.005218845,0.037085222,0.02423561,Good Overlap,31476,0,2227,7331,5102,7324
origSeq_49-origSeq_67,0.060941601,0.060402134,0.005914802,0.040256163,0.027992971,Good Overlap,2468,0,743,10468,9724,10460
origSeq_118-origSeq_59,0.061274112,0.060893538,0.005825451,0.035126071,0.02203175,Good Overlap,2767,0,756,10331,9571,10322
origSeq_168-origSeq_192,0.061451495,0.062159981,0.005283517,0.036675847,0.023379073,Good Overlap,2359,0,2359,47088,36029,38417
origSeq_192-origSeq_99,0.06148012,0.06271877,0.006357273,0.037819331,0.024528501,Good Overlap,47088,29700,30770,1116,16,1109
origSeq_103-origSeq_165,0.06190424,0.06190424,0.004710454,0.037556744,0.024345379,Good Overlap,1130,0,1130,22641,17124,18254
origSeq_106-origSeq_133,0.062276774,0.064018879,0.005616846,0.041147368,0.028014888,Good Overlap,3408,0,1238,17758,16471,17746
origSeq_149-origSeq_73,0.062338501,0.060578603,0.006411308,0.037472411,0.024502096,Good Overlap,3940,0,965,12487,11540,12476
origSeq_141-origSeq_189,0.062596785,0.062842066,0.005425541,0.038749557,0.025429922,Good Overlap,8897,0,2870,39864,36952,39834
origSeq_42-origSeq_96,0.062693904,0.063712469,0.006467586,0.03726367,0.02355279,Good Overlap,6699,0,1556,19709,18120,19703
origSeq_179-origSeq_54,0.063136697,0.063580393,0.006679045,0.039232805,0.026014282,Good Overlap,6953,0,533,2031,1489,2026
origSeq_148-origSeq_183,0.063192612,0.062326687,0.006773033,0.037533901,0.023790448,Good Overlap,481,2,481,11124,7101,7573
origSeq_107-origSeq_17,0.063467086,0.063098518,0.005200566,0.038810025,0.025412242,Good Overlap,3958,0,484,4151,3668,4149
origSeq_124-origSeq_28,0.064007625,0.064830415,0.006609881,0.041671098,0.028304587,Good Overlap,26618,12981,13854,900,2,887
origSeq_142-origSeq_73,0.064256005,0.064256005,0.007388767,0.038561639,0.024964018,Good Overlap,757,0,757,12487,11024,11781
origSeq_189-origSeq_7,0.06449731,0.064376013,0.005526154,0.039117985,0.025456815,Good Overlap,39864,9011,11001,1999,1,1987
origSeq_133-origSeq_4,0.06459648,0.063896967,0.006436818,0.040134233,0.026713052,Good Overlap,17758,5719,6497,781,5,774
origSeq_70-origSeq_91,0.064618966,0.064902873,0.006060528,0.040922905,0.027216256,Good Overlap,8278,0,1277,12771,11484,12767
origSeq_134-origSeq_44,0.064632706,0.065217391,0.005539714,0.040841061,0.027111805,Good Overlap,18418,4030,4960,945,1,940
origSeq_185-origSeq_76,0.065167836,0.06441512,0.006259663,0.041952977,0.028639165,Good Overlap,16198,0,1458,7647,6175,7615
origSeq_105-origSeq_93,0.065552699,0.064575794,0.006833562,0.042921041,0.029688148,Good Overlap,1437,0,816,11829,11011,11814
origSeq_169-origSeq_99,0.066062402,0.06448609,0.006104952,0.041684206,0.02788438,Good Overlap,18645,1435,2572,1116,1,1109
origSeq_71-origSeq_72,0.066464493,0.067053921,0.004835472,0.042696043,0.028706406,Good Overlap,8532,631,1157,554,13,544
origSeq_133-origSeq_99,0.066801495,0.066229227,0.005771384,0.040427513,0.026045437,Good Overlap,17758,1454,2544,1116,13,1093
origSeq_123-origSeq_41,0.067038113,0.066374044,0.005701441,0.041988329,0.028008402,Good Overlap,10666,0,1131,7331,6205,7324
origSeq_103-origSeq_134,0.067102138,0.066991329,0.005414761,0.042027563,0.028121076,Good Overlap,1130,0,1130,18418,15710,16838
origSeq_152-origSeq_182,0.067209883,0.06811617,0.005964785,0.04173112,0.027531455,Good Overlap,14143,0,2557,26524,23902,26496
origSeq_56-origSeq_93,0.06732965,0.065401934,0.007512682,0.040566816,0.026351449,Good Overlap,2637,0,914,11829,10938,11824
origSeq_123-origSeq_23,0.067374302,0.068830879,0.005615215,0.043978114,0.029946604,Good Overlap,10666,1728,2331,648,12,629
origSeq_158-origSeq_165,0.067559299,0.067760625,0.006132332,0.041183078,0.026717509,Good Overlap,7035,0,1877,22641,20748,22631
origSeq_158-origSeq_166,0.068093589,0.066232128,0.006214659,0.041840751,0.027251829,Good Overlap,7035,0,649,3139,2496,3126
origSeq_190-origSeq_7,0.068830522,0.068996193,0.005720657,0.041731993,0.027171677,Good Overlap,31476,3379,5313,1999,1,1940
origSeq_5-origSeq_96,0.069371622,0.069746815,0.006731073,0.040367678,0.025492464,Good Overlap,860,0,860,19709,11537,12402
origSeq_15-origSeq_192,0.070015705,0.069682808,0.006195602,0.044204303,0.029626676,Good Overlap,6726,0,3522,47088,43577,47081
origSeq_89-origSeq_91,0.070036433,0.069443953,0.006071961,0.044702732,0.030168881,Good Overlap,17466,0,1980,12771,10805,12767
origSeq_144-origSeq_189,0.070414826,0.070596513,0.006817315,0.044017818,0.029401925,Good Overlap,1801,0,1801,39864,23776,25582
origSeq_189-origSeq_26,0.070507961,0.07015548,0.005866771,0.044041293,0.029357359,Good Overlap,39864,13491,15351,1877,7,1857
origSeq_120-origSeq_135,0.071493487,0.072476925,0.005917885,0.044584732,0.029486824,Good Overlap,6804,203,675,485,1,480
origSeq_188-origSeq_190,0.071601997,0.071453117,0.006457077,0.043298343,0.027990193,Good Overlap,15308,2,3128,31476,28352,31471
origSeq_184-origSeq_23,0.071657143,0.071338745,0.007832857,0.047836726,0.033427194,Good Overlap,15396,6654,7281,648,8,632
origSeq_131-origSeq_36,0.071769109,0.071864268,0.006084751,0.043850281,0.028654961,Good Overlap,19393,0,1400,1530,114,1516
origSeq_146-origSeq_190,0.071796149,0.071796149,0.005805326,0.042464171,0.027038784,Good Overlap,1730,0,1730,31476,22366,24096
origSeq_103-origSeq_66,0.072135561,0.070147596,0.005635766,0.044981249,0.029713632,Good Overlap,1130,0,911,12390,11499,12383
origSeq_127-origSeq_4,0.072979079,0.070239385,0.006873742,0.043762322,0.028429598,Good Overlap,16943,6823,7566,781,61,774
origSeq_135-origSeq_24,0.073181615,0.074626866,0.008705577,0.044018206,0.027642778,Good Overlap,485,0,328,4348,3997,4332
origSeq_23-origSeq_96,0.073888255,0.072619319,0.007368632,0.042907948,0.026983291,Good Overlap,648,0,648,19709,8122,8758
origSeq_146-origSeq_187,0.073937943,0.074294015,0.00675725,0.045898957,0.030334394,Good Overlap,1730,0,1730,27328,21668,23407
origSeq_175-origSeq_191,0.074887082,0.075332571,0.006587217,0.04701549,0.031057664,Good Overlap,13606,0,2487,22116,19604,22107
origSeq_121-origSeq_72,0.075124026,0.076302378,0.007916866,0.045326042,0.028757202,Good Overlap,10092,3042,3572,554,5,544
