KEY 	 READ1_START 	 READ1_END 	 READ1_OVL_LEN 	 READ1_START 	 READ1_END 	 READ1_OVL_LEN 	 MATCHES 	 INSERTIONS 	 DELETIONS 
seq1_17-seq8_58	2	5530	5528	1092	6589	5497	5162	366	335
seq1_17-seq6_87	1313	5525	4212	2	4183	4181	3930	282	251
seq1_17-seq5_7	3188	4639	1451	1	1429	1428	1343	108	85
seq1_17-seq5_91	4250	5529	1279	1	1298	1297	1201	78	96
seq1_19-seq1_70	1057	4803	3746	2	3735	3733	3509	237	224
seq1_23-seq1_91	2	4347	4345	4583	8929	4346	4104	241	242
seq1_23-seq6_65	2	4304	4302	4204	8434	4230	3979	323	251
seq1_24-seq7_78	4	3520	3516	5408	8946	3538	3313	203	225
seq1_24-seq9_49	16	1504	1488	4813	6314	1501	1407	81	94
seq1_24-seq4_4	21	671	650	865	1529	664	621	29	43
seq1_27-seq3_73	1	1498	1497	4625	6144	1519	1419	78	100
seq1_28-seq6_58	1	3255	3254	538	3748	3210	3032	222	178
seq1_29-seq7_90	36	9124	9088	7860	16976	9116	8531	557	585
seq1_29-seq9_78	1	9165	9164	262	9503	9241	8626	538	615
seq1_29-seq4_85	1	618	617	9654	10282	628	588	29	40
seq1_31-seq5_71	6241	9370	3129	10	3163	3153	2916	213	237
seq1_31-seq4_63	6	743	737	7329	8044	715	673	64	42
seq1_32-seq3_93	4	598	594	3357	3940	583	550	44	33
seq1_33-seq7_47	1	2132	2131	68	2188	2120	2002	129	118
seq1_33-seq9_37	1	2139	2138	1521	3646	2125	2005	133	120
seq1_34-seq8_19	872	3173	2301	10	2316	2306	2164	137	142
seq1_36-seq3_73	3012	7536	4524	0	4553	4553	4258	266	295
seq1_39-seq3_51	1536	3957	2421	3	2431	2428	2290	131	138
seq1_39-seq6_70	17	1168	1151	7495	8632	1137	1081	70	56
seq1_40-seq4_58	111	5377	5266	1	5301	5300	4969	297	331
seq1_40-seq5_82	2732	5380	2648	5	2656	2651	2487	161	164
seq1_42-seq6_18	760	1369	609	1	605	604	579	30	25
seq1_43-seq4_78	5	6330	6325	4623	10962	6339	5974	351	365
seq1_43-seq7_35	2498	7877	5379	0	5408	5408	5071	308	337
seq1_44-seq2_85	6	5507	5501	8035	13560	5525	5179	322	346
seq1_44-seq1_53	971	5556	4585	2	4571	4569	4316	269	253
seq1_44-seq3_46	1389	2199	810	17	808	791	763	47	28
seq1_46-seq7_71	2	5952	5950	1922	7860	5938	5587	363	351
seq1_46-seq1_7	620	2250	1630	3	1623	1620	1536	94	84
seq1_46-seq2_73	2	1345	1343	7595	8932	1337	1264	79	73
seq1_50-seq2_68	0	4737	4737	103	4864	4761	4491	246	270
seq1_50-seq7_79	2904	4752	1848	11	1895	1884	1759	89	125
seq1_51-seq3_84	1	5508	5507	1531	7028	5497	5170	337	327
seq1_51-seq4_56	1	1754	1753	4177	5873	1696	1618	135	78
seq1_52-seq4_88	4958	13142	8184	1	8122	8121	7652	532	469
seq1_52-seq7_74	20	5666	5646	1549	7152	5603	5266	380	337
seq1_52-seq9_35	2822	7429	4607	3	4609	4606	4319	288	287
seq1_53-seq2_85	2	4521	4519	9027	13562	4535	4264	255	271
seq1_53-seq3_46	405	1209	804	20	808	788	751	53	37
seq1_54-seq4_53	862	7185	6323	5	6286	6281	5934	389	347
seq1_54-seq6_3	4531	6067	1536	6	1516	1510	1434	102	76
seq1_55-seq8_74	4	6304	6300	766	7079	6313	5907	393	406
seq1_55-seq3_74	2281	5925	3644	10	3647	3637	3439	205	198
seq1_57-seq7_52	0	6457	6457	576	6996	6420	6066	391	354
seq1_58-seq9_98	21	8822	8801	22224	31019	8795	8241	560	554
seq1_58-seq5_77	29	1835	1806	15106	16934	1828	1701	105	127
seq1_58-seq6_84	2	488	486	7343	7835	492	458	28	34
seq1_59-seq1_90	1388	2151	763	34	817	783	735	28	48
seq1_60-seq2_81	2616	8522	5906	100	6051	5951	5590	316	361
seq1_61-seq1_82	5	3109	3104	1775	4883	3108	2928	176	180
seq1_63-seq8_93	12	4096	4084	476	4571	4095	3824	260	271
seq1_63-seq8_44	603	4096	3493	1	3513	3512	3271	222	241
seq1_64-seq5_14	1614	4260	2646	0	2637	2637	2480	166	157
seq1_66-seq1_86	9	471	462	14386	14854	468	445	17	23
seq1_67-seq9_91	7	1539	1532	3651	5184	1533	1439	93	94
seq1_68-seq9_52	1509	2849	1340	672	2004	1332	1261	79	71
seq1_68-seq5_71	5	1053	1048	8934	9986	1052	988	60	64
seq1_69-seq7_21	5046	7977	2931	39	2969	2930	2747	184	183
seq1_71-seq7_78	21	4623	4602	16713	21355	4642	4331	271	311
seq1_71-seq3_71	1560	4867	3307	4	3326	3322	3090	217	232
seq1_72-seq5_98	2655	8026	5371	85	5434	5349	5057	314	292
seq1_72-seq9_41	3698	5832	2134	2	2142	2140	2020	114	120
seq1_73-seq7_81	24	6332	6308	4423	10770	6347	5942	366	405
seq1_73-seq8_75	1	6330	6329	3278	9650	6372	5981	348	391
seq1_74-seq9_76	10069	17342	7273	13	7307	7294	6833	440	461
seq1_74-seq5_24	1064	5142	4078	13	4124	4111	3832	246	279
seq1_74-seq9_32	9	3276	3267	1488	4773	3285	3054	213	231
seq1_76-seq8_89	1	13354	13353	243	13601	13358	12542	811	816
seq1_76-seq6_47	1	1583	1582	1803	3368	1565	1482	100	83
seq1_76-seq7_69	3583	4627	1044	6	1054	1048	975	69	73
seq1_77-seq5_86	5	2220	2215	10325	12551	2226	2105	110	121
seq1_78-seq4_16	1	1399	1398	3849	5247	1398	1311	87	87
seq1_79-seq6_75	8	3381	3373	11958	15354	3396	3168	205	228
seq1_80-seq2_96	0	7961	7961	4856	12829	7973	7498	463	475
seq1_80-seq7_92	0	7961	7961	8576	16565	7989	7519	442	470
seq1_81-seq5_66	5	5223	5218	814	6086	5272	4909	309	363
seq1_81-seq8_27	7530	10069	2539	1	2550	2549	2384	155	165
seq1_81-seq5_63	5	790	785	9108	9891	783	736	49	47
seq1_83-seq2_94	4	8888	8884	8446	17319	8873	8360	524	513
seq1_83-seq9_24	6044	8893	2849	1	2851	2850	2659	190	191
seq1_85-seq2_90	2	15579	15577	5607	21128	15521	14608	969	913
seq1_86-seq7_85	383	17843	17460	1	17517	17516	16420	1040	1096
seq1_86-seq6_38	11740	16846	5106	45	5165	5120	4800	306	320
seq1_86-seq6_67	6405	9961	3556	9	3576	3567	3349	207	218
seq1_86-seq2_30	4099	5141	1042	21	1062	1041	985	57	56
seq1_86-seq8_28	16122	17854	1732	45	1743	1698	1596	136	102
seq1_88-seq4_81	7517	11092	3575	28	3584	3556	3343	232	213
seq1_89-seq7_89	17	9501	9484	21587	31085	9498	8902	582	596
seq1_89-seq5_32	4840	9656	4816	2	4773	4771	4515	301	256
seq1_89-seq5_75	1	4207	4206	10970	15164	4194	3936	270	258
seq1_90-seq2_44	11268	15812	4544	0	4524	4524	4274	270	250
seq1_90-seq3_39	8562	11912	3350	1	3337	3336	3160	190	176
seq1_90-seq9_13	5550	8088	2538	12	2548	2536	2378	160	158
seq1_90-seq3_29	14995	15792	797	1	813	812	749	48	63
seq1_91-seq6_65	449	10985	10536	1	10558	10557	9865	671	692
seq1_91-seq4_55	425	4662	4237	4	4291	4287	3977	260	310
seq1_91-seq9_36	0	4199	4199	3024	7254	4230	3915	284	315
seq1_92-seq9_23	2734	4489	1755	2	1794	1792	1668	87	124
seq1_93-seq4_98	0	12652	12652	11000	23601	12601	11896	756	705
seq1_93-seq2_95	3	8950	8947	21720	30671	8951	8429	518	522
seq1_93-seq8_39	12767	13572	805	2	829	827	768	37	59
seq1_94-seq8_86	43	14602	14559	3449	18080	14631	13675	884	956
seq1_94-seq5_87	8775	14602	5827	7	5815	5808	5466	361	342
seq1_94-seq5_16	3323	6793	3470	0	3445	3445	3231	239	214
seq1_94-seq4_87	13519	14602	1083	17	1114	1097	1017	66	80
seq1_95-seq5_62	244	6424	6180	1	6196	6195	5825	355	370
seq1_95-seq6_21	4343	6762	2419	3	2438	2435	2293	126	142
seq1_95-seq9_56	36	3163	3127	9208	12325	3117	2894	233	223
seq1_95-seq8_46	16313	17686	1373	15	1384	1369	1294	79	75
seq10_7-seq10_89	0	1190	1190	9975	11185	1210	1130	60	80
seq10_13-seq2_39	1	772	771	1038	1789	751	707	64	44
seq10_15-seq3_92	21	3245	3224	768	4041	3273	3053	171	220
seq10_18-seq10_69	6	4873	4867	1187	6032	4845	4558	309	287
seq10_18-seq7_84	120	4853	4733	342	5107	4765	4402	331	363
seq10_20-seq2_68	49	3374	3325	5438	8765	3327	3125	200	202
seq10_20-seq7_79	50	3240	3190	2481	5665	3184	2979	211	205
seq10_21-seq1_76	2	865	863	15300	16178	878	824	39	54
seq10_26-seq1_93	26	1867	1841	14882	16732	1850	1722	119	128
seq10_30-seq5_80	6	2726	2720	6300	9027	2727	2534	186	193
seq10_32-seq2_62	11	3702	3691	5933	9625	3692	3472	219	220
seq10_32-seq6_89	11	3702	3691	2122	5766	3644	3418	273	226
seq10_42-seq1_51	5	5932	5927	5296	11225	5929	5562	365	367
seq10_44-seq4_90	16	3929	3913	6623	10531	3908	3668	245	240
seq10_46-seq10_76	715	7438	6723	3	6727	6724	6366	357	358
seq10_47-seq5_69	195	3349	3154	1276	4487	3211	2964	190	247
seq10_47-seq7_89	53	3336	3283	3825	7086	3261	3030	253	231
seq10_49-seq2_82	3	4298	4295	4107	8397	4290	4021	274	269
seq10_50-seq1_56	159	5131	4972	74	5060	4986	4646	326	340
seq10_52-seq10_85	1	6793	6792	602	7415	6813	6415	377	398
seq10_52-seq7_24	3703	6414	2711	53	2748	2695	2541	170	154
seq10_52-seq7_7	4264	6414	2150	22	2158	2136	1991	159	145
seq10_56-seq2_93	47	5462	5415	23683	29165	5482	5086	329	396
seq10_56-seq4_75	1858	5449	3591	117	3726	3609	3342	249	267
seq10_58-seq2_95	3	3810	3807	3082	6971	3889	3601	206	288
seq10_58-seq5_82	2	3362	3360	7104	10532	3428	3177	183	251
seq10_61-seq7_87	1066	8660	7594	204	7815	7611	7083	511	528
seq10_63-seq10_74	0	8414	8414	5231	13664	8433	7977	437	456
seq10_65-seq9_93	66	6429	6363	7154	13471	6317	5914	449	403
seq10_69-seq7_84	986	14417	13431	12	13535	13523	12532	899	991
seq10_71-seq6_81	0	8340	8340	419	8714	8295	7734	606	561
seq10_71-seq8_16	3964	8106	4142	518	4668	4150	3872	270	278
seq10_72-seq4_18	4546	7510	2964	29	3003	2974	2782	182	192
seq10_72-seq7_56	7548	11415	3867	1	3895	3894	3588	279	306
seq10_73-seq1_21	108	1664	1556	1628	3172	1544	1426	130	118
seq10_75-seq2_74	7614	12011	4397	1	4415	4414	4137	260	277
seq10_77-seq6_12	6939	9444	2505	5	2512	2507	2332	173	175
seq10_79-seq9_66	5183	10988	5805	395	6138	5743	5383	422	360
seq10_79-seq6_14	9097	12950	3853	5	3820	3815	3565	288	250
seq10_81-seq8_82	2907	19553	16646	11	16695	16684	15512	1134	1172
seq10_81-seq6_74	4166	13055	8889	14	8882	8868	8293	596	575
seq10_81-seq5_93	14510	19508	4998	66	5099	5033	4678	320	355
seq10_81-seq7_38	5939	9779	3840	12	3857	3845	3582	258	263
seq10_83-seq9_99	26	15675	15649	469	16213	15744	14646	1003	1098
seq10_85-seq7_24	4424	7101	2677	178	2819	2641	2489	188	152
seq10_86-seq6_68	12283	17175	4892	3	5074	5071	4619	273	452
seq10_86-seq7_31	345	4094	3749	6	3729	3723	3493	256	230
seq10_87-seq7_82	3175	15871	12696	154	12888	12734	11887	809	847
seq10_90-seq8_88	4	5170	5166	8805	13961	5156	4822	344	334
seq10_91-seq1_22	17053	18293	1240	5	1234	1229	1159	81	70
seq10_92-seq4_53	191	3682	3491	4463	7932	3469	3261	230	208
seq10_92-seq1_54	2	2034	2032	5154	7182	2028	1915	117	113
seq10_93-seq7_62	13721	23949	10228	5	10189	10184	9575	653	609
seq10_94-seq3_87	8545	24715	16170	1	16270	16269	15127	1043	1142
seq10_94-seq2_79	12240	16682	4442	403	4831	4428	4148	294	280
seq10_94-seq9_94	342	8542	8200	14860	23057	8197	7633	567	564
seq10_94-seq2_26	172	2853	2681	12	2716	2704	2514	167	190
seq10_95-seq4_64	11760	23946	12186	0	12170	12170	11325	861	845
seq10_95-seq6_41	15981	22253	6272	14	6298	6284	5851	421	433
seq10_95-seq6_32	20996	25268	4272	14	4285	4271	4001	271	270
seq10_96-seq1_64	1740	10176	8436	79	8513	8434	7888	548	546
seq10_96-seq7_39	15428	22467	7039	450	7506	7056	6549	490	507
seq10_96-seq5_14	3281	5906	2625	1	2635	2634	2451	174	183
seq6_5-seq7_90	41	3137	3096	19399	22518	3119	2927	169	192
seq6_5-seq9_78	95	3060	2965	11967	14945	2978	2781	184	197
seq6_17-seq8_85	4	2421	2417	6264	8714	2450	2277	140	173
seq6_24-seq7_46	2130	4972	2842	18	2881	2863	2666	176	197
seq6_28-seq7_60	0	2546	2546	8413	10888	2475	2332	214	143
seq6_29-seq6_8	8	739	731	1484	2217	733	684	47	49
seq6_32-seq6_41	1	1292	1291	5024	6328	1304	1238	53	66
seq6_34-seq8_28	2	2464	2462	5385	7845	2460	2286	176	174
seq6_35-seq7_17	3443	6270	2827	0	2799	2799	2623	204	176
seq6_38-seq7_85	45	5137	5092	11398	16505	5107	4784	308	323
seq6_41-seq6_62	1398	3699	2301	25	2343	2318	2166	135	152
seq6_43-seq9_53	2567	4267	1700	3	1683	1680	1562	138	118
seq6_45-seq9_85	43	3183	3140	11418	14537	3119	2929	211	190
seq6_46-seq6_52	4914	12309	7395	5	7418	7413	6985	410	428
seq6_50-seq6_91	0	731	731	11882	12596	714	685	46	29
seq6_53-seq6_75	0	3026	3026	15545	18599	3054	2870	156	184
seq6_55-seq7_94	68	5075	5007	30740	35731	4991	4687	320	304
seq6_57-seq8_42	3	3906	3903	2522	6401	3879	3623	280	256
seq6_59-seq8_92	3471	6165	2694	10	2738	2728	2531	163	197
seq6_65-seq9_36	1	3814	3813	3475	7253	3778	3519	294	259
seq6_67-seq7_85	9	3574	3565	6023	9611	3588	3356	209	232
seq6_72-seq9_96	248	8217	7969	9	8018	8009	7431	538	578
seq6_73-seq7_41	4	5594	5590	853	6488	5635	5208	382	427
seq6_74-seq8_82	54	8870	8816	1318	10177	8859	8271	545	588
seq6_74-seq7_38	1794	5636	3842	1	3872	3871	3598	244	273
seq6_76-seq9_74	1732	3812	2080	5	2090	2085	1968	112	117
seq6_78-seq7_51	17	3963	3946	1629	5586	3957	3700	246	257
seq6_81-seq8_16	3839	8509	4670	27	4683	4656	4388	282	268
seq6_81-seq7_15	8756	11220	2464	18	2454	2436	2286	178	150
seq6_84-seq7_91	0	7877	7877	18274	26528	8254	7370	507	884
seq6_84-seq9_98	2031	7748	5717	16873	22596	5723	5331	386	392
seq6_84-seq9_57	2064	7835	5771	0	5748	5748	5374	397	374
seq6_85-seq8_69	9485	18809	9324	20	9356	9336	8728	596	608
seq6_85-seq7_50	13134	18813	5679	1	5717	5716	5324	355	392
seq6_86-seq9_92	91	4863	4772	6207	10926	4719	4422	350	297
seq6_86-seq7_57	52	2383	2331	1604	3928	2324	2166	165	158
seq6_87-seq8_58	17	5077	5060	2409	7490	5081	4726	334	355
seq6_89-seq8_34	5236	10026	4790	37	4839	4802	4483	307	319
seq6_90-seq7_67	12961	22966	10005	16	10047	10031	9348	657	683
seq6_90-seq7_87	11	6017	6006	10697	16731	6034	5621	385	413
seq6_91-seq8_24	10348	14227	3879	29	3912	3883	3601	278	282
seq6_92-seq7_83	802	19266	18464	11	18387	18376	17210	1254	1166
seq2_6-seq5_98	16	1569	1553	12398	13907	1509	1439	114	70
seq2_8-seq9_97	12	2961	2949	7699	10653	2954	2777	172	177
seq2_10-seq8_52	9	2733	2724	2592	5309	2717	2547	177	170
seq2_11-seq4_12	1542	2238	696	30	712	682	647	49	35
seq2_12-seq9_89	1	3956	3955	16070	20020	3950	3682	273	268
seq2_13-seq6_85	4	3620	3616	9087	12734	3647	3425	191	222
seq2_13-seq8_69	421	3599	3178	20	3236	3216	3002	176	214
seq2_16-seq5_85	0	5305	5305	6042	11357	5315	4987	318	328
seq2_17-seq9_95	9	4605	4596	1462	6072	4610	4294	302	316
seq2_19-seq2_93	0	4080	4080	22054	26149	4095	3853	227	242
seq2_19-seq4_75	3336	4080	744	10	763	753	695	49	58
seq2_20-seq2_91	124	2896	2772	10	2814	2804	2628	144	176
seq2_21-seq5_96	10	3322	3312	8942	12264	3322	3115	197	207
seq2_26-seq9_94	47	2651	2604	14727	17320	2593	2420	184	173
seq2_28-seq8_93	15	1517	1502	13795	15277	1482	1395	107	87
seq2_32-seq5_92	4	2029	2025	5541	7547	2006	1890	135	116
seq2_34-seq3_93	2	4561	4559	7619	12223	4604	4318	241	286
seq2_34-seq3_70	3357	4561	1204	1	1202	1201	1146	58	55
seq2_36-seq2_76	4	1843	1839	574	2391	1817	1723	116	94
seq2_37-seq8_80	1	3327	3326	3662	7005	3343	3119	207	224
seq2_38-seq4_85	5	4428	4423	4790	9279	4489	4196	227	293
seq2_38-seq7_90	261	4435	4174	3251	7457	4206	3915	259	291
seq2_38-seq9_31	2062	4365	2303	8	2303	2295	2132	171	163
seq2_40-seq2_56	0	436	436	1766	2209	443	411	25	32
seq2_41-seq2_72	4526	5995	1469	4	1477	1473	1395	74	78
seq2_42-seq7_43	55	1457	1402	590	2009	1419	1322	80	97
seq2_43-seq2_65	0	4042	4042	2611	6635	4024	3805	237	219
seq2_43-seq5_73	20	1411	1391	4910	6265	1355	1299	92	56
seq2_44-seq3_29	3708	8610	4902	1	4929	4928	4616	286	312
seq2_44-seq3_39	2	649	647	2719	3350	631	603	44	28
seq2_45-seq2_78	478	8075	7597	1	7615	7614	7171	426	443
seq2_45-seq5_51	292	7000	6708	0	6724	6724	6324	384	400
seq2_45-seq2_93	6778	8075	1297	20	1301	1281	1208	89	73
seq2_46-seq5_9	1229	2548	1319	3	1307	1304	1233	86	71
seq2_46-seq3_36	4767	4966	199	11	212	201	192	7	9
seq2_50-seq8_52	2	2453	2451	8137	10596	2459	2308	143	151
seq2_52-seq3_85	14	2926	2912	12449	15378	2929	2748	164	181
seq2_52-seq6_77	82	2900	2818	7862	10687	2825	2653	165	172
seq2_53-seq9_18	4133	6054	1921	22	1954	1932	1797	124	135
seq2_55-seq5_60	1742	8988	7246	4	7339	7335	6836	410	499
seq2_55-seq9_45	1363	3610	2247	0	2245	2245	2112	135	133
seq2_58-seq3_91	3	3661	3658	5491	9152	3661	3452	206	209
seq2_59-seq8_69	2	926	924	13845	14769	924	872	52	52
seq2_62-seq6_89	3824	13892	10068	32	10026	9994	9434	634	560
seq2_62-seq8_34	9067	14388	5321	13	5338	5325	4996	325	329
seq2_62-seq3_55	1623	5100	3477	3	3443	3440	3273	204	167
seq2_62-seq7_29	40	2733	2693	29	2705	2676	2491	202	185
seq2_63-seq9_30	1	925	924	4466	5382	916	872	52	44
seq2_65-seq5_73	6	4004	3998	2291	6269	3978	3764	234	214
seq2_66-seq6_54	0	3373	3373	1926	5296	3370	3169	204	201
seq2_67-seq5_84	5955	7321	1366	2	1343	1341	1279	87	62
seq2_68-seq7_79	3012	9659	6647	2	6688	6686	6266	381	420
seq2_69-seq9_71	8451	10311	1860	0	1846	1846	1725	135	121
seq2_72-seq4_1	6684	8079	1395	9	1414	1405	1322	73	83
seq2_73-seq7_71	5695	8836	3141	26	3166	3140	2966	175	174
seq2_75-seq3_67	4018	8314	4296	1	4247	4246	4024	272	222
seq2_77-seq6_26	164	6260	6096	1	6050	6049	5723	373	326
seq2_78-seq2_93	6320	13774	7454	3	7460	7457	7015	439	442
seq2_78-seq5_51	0	6569	6569	183	6719	6536	6166	403	370
seq2_79-seq3_87	0	4968	4968	3451	8465	5014	4693	275	321
seq2_80-seq6_71	3084	5472	2388	1	2364	2363	2225	163	138
seq2_83-seq6_83	23	4200	4177	6579	10716	4137	3922	255	215
seq2_83-seq5_31	31	2650	2619	415	3035	2620	2470	149	150
